tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,intensity_std
482,83.50610000004845,32.766399999728044,6.4,0.269,2.175,3.9,12.3,34.1,10.470532613712502
483,54.059100000004655,26.85739999974296,8.1,0.116,2.05,3,10.8,41.8,11.921445790839153
484,59.22309999999441,31.801399999877063,7.9,0.094,1.625,3.6,5.2,6.9,10.657515583881803
485,37.71910000003725,22.37939999962375,11.5,0,1.95,3.9,8.9,8.1,10.728952927055795
486,48.88910000007916,28.31239999981746,16.2,0.183,2.175,7.6,14.5,48.6,12.18947603095139
487,65.23010000009407,33.21739999961257,11.4,0.127,0.775,3.6,1.3,1.8,11.184845292061496
488,57.50210000009127,77.51939999975411,11.6,0.074,1.875,3.9,10.9,42.8,11.10306387953268
489,56.41210000000745,23.95939999969825,7.2,0.133,0.9,2.1,1.9,2.1,8.093235006746102
490,55.63310000002701,37.78239999955669,21.8,0.335,8,12.4,144.7,869.1,9.891944473244951
491,29.28110000007171,24.979399999716875,12.1,0.063,2.25,4.9,12.1,22.9,8.6967169306864
492,63.634100000074504,29.84339999977648,8,0.088,1.95,1.7,8.7,24.6,10.888584163394505
493,43.5441000001071,22.074399999921766,2.1,0.16,0.7250000000000001,2.2,1.2,1.9,11.632981354446937
494,49.979100000046564,31.100399999526886,5.8,0.254,2.025,3.3,10.8,41.3,9.60071229410616
495,41.428100000068916,63.617399999519435,5.9,0.048,1.225,2.5,4.6,7.9,10.936974850034415
496,65.26910000008382,28.48239999974296,7.9,0.067,1.25,2.1,3.3,3.7,11.69618559431255
497,69.55710000002608,33.108399999906865,13.9,0.202,1.95,3.2,9.9,40.6,9.810256935531358
498,47.24810000001769,62.824399999921766,4.1,0.116,0.6,1.4,1,1.5,13.477735584380737
499,43.24910000006519,22.936399999653545,9.1,0.205,4.375,7.4,53.1,273.6,12.266872603260683
500,35.09710000006333,37.931399999765304,14.1,0.137,3.375,4.2,30.5,93,14.60216450486594
501,49.585100000075435,77.65639999985844,8.8,0.099,1.45,2.2,6.4,23.5,12.505643494921674
502,53.90310000004563,29.96939999947473,18.7,0.167,7.2,10.9,151.3,968.4,10.599115819966956
503,28.53710000000745,19.22239999950081,14.2,0.182,7.25,5,130.4,1033.2,9.447018889593332
504,44.47309999999441,31.121399999709425,3.4,0,0.875,3.2,1.5,2.2,8.749774943410136
